Kane B,Moral Error Theory | with Mouthy Infidel
Kane B,Skepticism and Rationality with @CarneadesOfCyrene
Kane B,A short story of my philosophical development
Kane B,2020 PhilPapers survey reaction
Kane B,My interview with LS Philosophy
Kane B,Chatting with Politics In Its Place (but not about politics)
Kane B,"Ask Me Anything responses, part 1"
Kane B,"Ask Me Anything responses, part 2"
Kane B,"Science, Empiricism, Theism - Interviewed by Digital Gnosis, part 1"
Kane B,"Q&A responses, part 2"
Kane B,"Q&A responses, part 1"
Kane B,From noncognitivism to error theory
Kane B,Morality and metaphysics - interview with Supremystory
Kane B,Answering the 2020 philpapers survey
Kane B,Answering the philpapers survey
Kane B,AMA responses
Kane B,"""Let's make moral realism embarrassing again"" / with Lance Bush"
Kane B,AMA Responses
Kane B,Are there objective values? with Philip Goff
Kane B,DOCTOR Kane Baker
Kane B,Answering Absurd Trolley Problems
Kane B,Skepticism and the Criterion
Kane B,AMA Responses (part 1)
Kane B,AMA Responses (part 2)
Kane B,Is Science Based On Faith?
Kane B,What is Gender? A Conversation on Trans Philosophy
Kane B,My Vasectomy ✂️
Kane B,Answering the Science vs Religion Compass
Kane B,"AMA responses, part 1"
Kane B,"AMA responses, part 2"
Kane B,Debating moral realism
Kane B,Taking the Philosopher Personality Test
Kane B,"AMA Responses, Part 1"
Kane B,"AMA Responses, Part 2"
Kane B,The Moral Realism Tier List (with Lance Bush)
Kane B,Hume's Skepticism About Reason
Kane B,Hume's skepticism about the senses
Kane B,Hume's Political Philosophy
Kane B,Philosophy of Science 3 - Hume's Problem of Induction
Kane B,Analysis of Hume on personal identity / with Cole Nasrallah
Kane B,Personal Identity 3 - Nihilism
Kane B,Why was Hume racist?
Kane B,Hume on religious self-deception
Kane B,Causation
Kane B,The problem of deduction
Kane B,Logical Nihilism
Kane B,Could there be no laws of logic?
Kane B,Conditionals: the material conditional
Kane B,The St. Petersburg Paradox
Kane B,The modal scope fallacy
Kane B,Lewis' Triviality Proof
Kane B,Necessary; analytic; a priori
Kane B,Curry's Paradox
Kane B,Philosophy of Mathematics: Platonism
Kane B,Quine's objections to modal logic 1 - historical background
Kane B,Quine's objections to modal logic 2 - use and mention
Kane B,Quine's objections to modal logic 3 - extensionality and intensionality
Kane B,Quine's objections to modal logic 4 - referential opacity
Kane B,Modal Realism 1
Kane B,Modal Realism 2
Kane B,Modal Realism 3 - Objections
Kane B,Dialetheism 1 - preliminary remarks
Kane B,Dialetheism supplement - a simple paraconsistent logic
Kane B,Dialetheism 2a - the Liar paradox
Kane B,Dialetheism 3a - methodological problems - believing contradictions
Kane B,Is Logic Normative?
Kane B,The Limits of Logic
Kane B,The Knowability Paradox
Kane B,There are true contradictions
Kane B,The Principle of Explosion
Kane B,Inconsistency in Science: An Argument for Dialetheism?
Kane B,Frege on sense and reference / with Cole Nasrallah
Kane B,Analysis of Swinburne on personal identity / with Cole Nasrallah
Kane B,Gettier on knowledge / with Cole Nasrallah
Kane B,The Blue Balls Debate
Kane B,"Drunk Philosophy #1... ""Show me the way to the next Schopenhauer"""
Kane B,"Drunk Philosophy #2 - More Drinks, Less Philosophy"
Kane B,Liberty / with Cole N.
Kane B,Anarchy in action
Kane B,Cole N. - Public Philosophy
Kane B,Why Sam Harris is always wrong / with Cole Nasrallah
Kane B,"Drunk Philosophy #4 - Morals, Music, and Mansplaining"
Kane B,Stove confirms: Sam Harris is still always wrong!
Kane B,Discussing moral realism with Rationality Rules and Cole Nasrallah
Kane B,Why I became a vegetarian (an egoist case)
Kane B,"Mackie, ""The Subjectivity of Values"" / with Cole Nasrallah"
Kane B,Abortion - A Philosophical Introduction
Kane B,Russell's Theory of Descriptions 1 - Some Puzzles
Kane B,Russell's Theory of Descriptions 2 - Frege & Meinong
Kane B,Russell's Theory of Descriptions 3
Kane B,What is meaning? - Verificationism
Kane B,Kripke's Meaning Skepticism 1
Kane B,Kripke's Meaning Skepticism 2 - The Skeptical Solution
Kane B,Kripke's Meaning Skepticism 3 - A Straight Solution
Kane B,Metaphor
Kane B,Referential Pluralism
Kane B,Relativism and Truth
Kane B,Putnam's Argument Against Skepticism
Kane B,Indeterminacy of Meaning
Kane B,The Correspondence Theory of Truth
Kane B,The Coherence Theory of Truth
Kane B,Newcomb's Problem
Kane B,The Paradox of Pornography
Kane B,Ulam games
Kane B,Infinity - a brief introduction
Kane B,Philosophical Progress 1
Kane B,Philosophical Progress 2
Kane B,Naturalized Metaphysics 1
Kane B,Naturalized Metaphysics 2
Kane B,Intuitions in Philosophy 1
Kane B,Intuitions in Philosophy 2
Kane B,How to be an empiricist
Kane B,The Principle of Charity
Kane B,Conceptual Engineering
Kane B,Rejecting Philosophical Consensus
Kane B,What is the point of philosophical argument?
Kane B,The Burden of Proof in Philosophy
Kane B,Philosophy Without Justification
Kane B,In Praise of Self-Refutation
Kane B,Unbelievable Theories
Kane B,In Praise of Uselessness
Kane B,Why does nobody care about philosophy?
Kane B,"Normativity, Moral and Epistemic"
Kane B,Fallibilism
Kane B,Relativism
Kane B,The Epistemology of Disagreement 1
Kane B,The Epistemology of Disagreement 2
Kane B,An argument against contextualism
Kane B,Agnosticism
Kane B,Radical scepticism
Kane B,"In Defence of Conspiracy Theories, part 1"
Kane B,"In Defence of Conspiracy Theories, part 2"
